name,code,level,parent_code
"631 ACMD",631-ACMD,UNIT,HQ-LOG
"633 CAD",633-CAD,UNIT,HQ-LOG
"641 COMS GP",641-COMS-GP,UNIT,HQ-LOG
"643 ESD",643-ESD,UNIT,HQ-LOG
"651 BSG",651-BSG,UNIT,HQ-LOG
"655 BSW",655-BSW,UNIT,HQ-LOG
"653 NAF STN",653-NAF-STN,UNIT,HQ-LOG
"661 NAFH",661-NAFH,UNIT,HQ-LOG
"663 NAFMCH",663-NAFMCH,UNIT,HQ-LOG
"671 NAF STN",671-NAF-STN,UNIT,HQ-LOG
